date,numday,pms_count,PMS_numkilled,MP_stories_total,AP_stories_total,TVShoot_stories_total
2000-01-01,0.0,0.0,0,2.6426325,0,0
2000-01-02,1.0,0.0,0,6.548593,0,0
2000-01-03,2.0,0.0,0,1.9350969,0,0
2000-01-04,3.0,0.0,0,0.6784626,0,0
2000-01-05,4.0,0.0,0,1.1250703,0,1
2000-01-06,5.0,0.0,0,0.0,0,0
2000-01-07,6.0,0.0,0,0.0,0,0
2000-01-08,7.0,0.0,0,2.1269312,0,0
2000-01-09,8.0,0.0,0,0.0,0,0
2000-01-10,9.0,0.0,0,1.8897172,0,1
2000-01-11,10.0,0.0,0,5.257071,0,0
2000-01-12,11.0,0.0,0,7.353209,0,0
2000-01-13,12.0,0.0,0,2.0056448,0,0
2000-01-14,13.0,0.0,0,0.6784626,0,0
2000-01-15,14.0,0.0,0,1.7593321,0,0
2000-01-16,15.0,0.0,0,5.439457,0,0
2000-01-17,16.0,0.0,0,4.6530857,0,0
2000-01-18,17.0,0.0,0,4.324446,0,1
2000-01-19,18.0,0.0,0,7.2461185,0,0
2000-01-20,19.0,0.0,0,0.0,0,0
2000-01-21,20.0,0.0,0,1.3569252,0,0
2000-01-22,21.0,0.0,0,1.1250703,0,0
2000-01-23,22.0,0.0,0,1.9825857,0,0
2000-01-24,23.0,0.0,0,1.3569252,0,0
2000-01-25,24.0,0.0,0,1.363334,0,2
2000-01-26,25.0,0.0,0,4.03604,0,0
2000-01-27,26.0,0.0,0,1.6547035,0,0
2000-01-28,27.0,0.0,0,1.327182,1,0
2000-01-29,28.0,0.0,0,1.1989725,0,0
2000-01-30,29.0,0.0,0,0.0,0,0
2000-01-31,30.0,0.0,0,0.0,0,0
2000-02-01,31.0,0.0,0,4.2641397,0,0
2000-02-02,32.0,0.0,0,4.324446,0,1
2000-02-03,33.0,0.0,0,1.2318743,0,1
2000-02-04,34.0,0.0,0,4.037268,0,0
2000-02-05,35.0,0.0,0,0.40501332,0,0
2000-02-06,36.0,0.0,0,0.0,0,1
2000-02-07,37.0,0.0,0,0.65540355,0,0
2000-02-08,38.0,0.0,0,1.327182,0,0
2000-02-09,39.0,0.0,0,0.65540355,0,0
2000-02-10,40.0,0.0,0,0.0,0,1
2000-02-11,41.0,0.0,0,1.1250703,0,0
2000-02-12,42.0,0.0,0,1.3758136,0,1
2000-02-13,43.0,0.0,0,2.1269312,0,1
2000-02-14,44.0,0.0,0,0.0,0,3
2000-02-15,45.0,0.0,0,5.651628,0,1
2000-02-16,46.0,0.0,0,0.0,0,1
2000-02-17,47.0,0.0,0,2.1269312,0,1
2000-02-18,48.0,0.0,0,2.6237156,0,0
2000-02-19,49.0,0.0,0,1.1935451,0,0
2000-02-20,50.0,0.0,0,2.1269312,0,0
2000-02-21,51.0,0.0,0,0.0,0,0
2000-02-22,52.0,0.0,0,0.0,0,0
2000-02-23,53.0,0.0,0,2.607688,0,1
2000-02-24,54.0,0.0,0,0.6784626,0,0
2000-02-25,55.0,0.0,0,0.0,0,1
2000-02-26,56.0,0.0,0,0.41087726,0,1
2000-02-27,57.0,0.0,0,0.0,0,1
2000-02-28,58.0,0.0,0,6.262795,0,0
2000-02-29,59.0,0.0,0,5.2482553,0,3
2000-03-01,60.0,0.0,0,6.278477,0,6
2000-03-02,61.0,0.0,0,1.0743525,0,1
2000-03-03,62.0,0.0,0,1.9892696,0,2
2000-03-04,63.0,0.0,0,2.726668,0,1
2000-03-05,64.0,0.0,0,8.425599,0,2
2000-03-06,65.0,0.0,0,0.0,0,0
2000-03-07,66.0,0.0,0,3.6580646,0,3
2000-03-08,67.0,0.0,0,0.0,0,4
2000-03-09,68.0,0.0,0,0.0,0,0
2000-03-10,69.0,0.0,0,0.56253517,1,1
2000-03-11,70.0,0.0,0,1.327182,0,1
2000-03-12,71.0,0.0,0,6.0362,0,2
2000-03-13,72.0,0.0,0,0.40501332,0,3
2000-03-14,73.0,0.0,0,2.0056448,0,0
2000-03-15,74.0,0.0,0,2.7029958,0,2
2000-03-16,75.0,0.0,0,0.0,0,1
2000-03-17,76.0,0.0,0,0.0,0,2
2000-03-18,77.0,0.0,0,0.41087726,0,1
2000-03-19,78.0,0.0,0,4.7812953,1,2
2000-03-20,79.0,1.0,5,2.2911408,0,0
2000-03-21,80.0,0.0,0,4.0166483,0,0
2000-03-22,81.0,0.0,0,4.399417,0,1
2000-03-23,82.0,0.0,0,10.775824,0,0
2000-03-24,83.0,0.0,0,3.4364662,0,2
2000-03-25,84.0,0.0,0,0.6784626,0,0
2000-03-26,85.0,0.0,0,4.6647396,0,0
2000-03-27,86.0,0.0,0,5.49486,0,0
2000-03-28,87.0,0.0,0,0.0,0,0
2000-03-29,88.0,0.0,0,4.421662,0,0
2000-03-30,89.0,0.0,0,8.966318,0,1
2000-03-31,90.0,0.0,0,1.8929672,0,1
2000-04-01,91.0,0.0,0,9.484852,0,1
2000-04-02,92.0,0.0,0,8.184326,0,0
2000-04-03,93.0,0.0,0,7.2871547,0,1
2000-04-04,94.0,0.0,0,0.56253517,0,0
2000-04-05,95.0,0.0,0,2.6672215,0,0
2000-04-06,96.0,0.0,0,1.327182,0,1
2000-04-07,97.0,0.0,0,1.7580849,0,1
2000-04-08,98.0,0.0,0,1.7321954,0,1
2000-04-09,99.0,0.0,0,8.12918,1,1
2000-04-10,100.0,0.0,0,4.2538624,2,1
2000-04-11,101.0,0.0,0,2.2911408,1,0
2000-04-12,102.0,0.0,0,4.426753,0,1
2000-04-13,103.0,0.0,0,0.3835185,1,0
2000-04-14,104.0,0.0,0,0.43090278,0,0
2000-04-15,105.0,0.0,0,1.9383488,0,1
2000-04-16,106.0,0.0,0,3.2093534,0,1
2000-04-17,107.0,0.0,0,2.0056448,0,2
2000-04-18,108.0,0.0,0,0.41087726,0,3
2000-04-19,109.0,0.0,0,3.1226661,0,1
2000-04-20,110.0,0.0,0,1.8935025,0,8
2000-04-21,111.0,0.0,0,1.7321954,0,1
2000-04-22,112.0,0.0,0,0.0,0,0
2000-04-23,113.0,0.0,0,4.0305557,0,0
2000-04-24,114.0,0.0,0,1.3758136,1,2
2000-04-25,115.0,0.0,0,2.7005563,1,3
2000-04-26,116.0,0.0,0,0.0,0,3
2000-04-27,117.0,0.0,0,4.324446,0,0
2000-04-28,118.0,1.0,5,2.6044362,0,5
2000-04-29,119.0,0.0,0,0.0,0,2
2000-04-30,120.0,0.0,0,7.5296707,0,1
2000-05-01,121.0,0.0,0,1.083476,1,0
2000-05-02,122.0,0.0,0,0.81002665,1,1
2000-05-03,123.0,0.0,0,3.0955293,0,0
2000-05-04,124.0,0.0,0,5.392462,0,1
2000-05-05,125.0,0.0,0,1.351067,0,0
2000-05-06,126.0,0.0,0,1.7499201,1,0
2000-05-07,127.0,0.0,0,2.4753873,0,1
2000-05-08,128.0,0.0,0,0.41087726,0,0
2000-05-09,129.0,0.0,0,5.2214108,0,0
2000-05-10,130.0,0.0,0,0.5402905,0,0
2000-05-11,131.0,0.0,0,0.0,0,0
2000-05-12,132.0,0.0,0,0.0,0,0
2000-05-13,133.0,0.0,0,6.5857944,1,1
2000-05-14,134.0,0.0,0,1.8568153,0,1
2000-05-15,135.0,0.0,0,6.4513774,1,3
2000-05-16,136.0,0.0,0,0.0,0,0
2000-05-17,137.0,0.0,0,0.0,0,0
2000-05-18,138.0,0.0,0,0.0,1,0
2000-05-19,139.0,0.0,0,0.0,0,1
2000-05-20,140.0,0.0,0,0.0,0,0
2000-05-21,141.0,0.0,0,4.7812953,0,0
2000-05-22,142.0,0.0,0,2.1269312,0,0
2000-05-23,143.0,0.0,0,0.6784626,0,0
2000-05-24,144.0,0.0,0,0.0,0,0
2000-05-25,145.0,0.0,0,3.4541132,0,0
2000-05-26,146.0,0.0,0,2.7391477,0,1
2000-05-27,147.0,0.0,0,0.6784626,0,2
2000-05-28,148.0,0.0,0,6.610754,0,1
2000-05-29,149.0,0.0,0,1.327182,0,1
2000-05-30,150.0,0.0,0,3.3814583,0,2
2000-05-31,151.0,0.0,0,1.7683473,0,0
2000-06-01,152.0,0.0,0,3.5027447,0,1
2000-06-02,153.0,0.0,0,1.327182,1,1
2000-06-03,154.0,0.0,0,0.0,0,1
2000-06-04,155.0,0.0,0,0.0,0,0
2000-06-05,156.0,0.0,0,1.363334,1,0
2000-06-06,157.0,0.0,0,3.2563012,1,0
2000-06-07,158.0,0.0,0,1.2318743,0,0
2000-06-08,159.0,0.0,0,0.0,0,2
2000-06-09,160.0,0.0,0,2.6841073,0,0
2000-06-10,161.0,0.0,0,0.43090278,0,1
2000-06-11,162.0,0.0,0,0.40501332,0,0
2000-06-12,163.0,0.0,0,1.363334,0,0
2000-06-13,164.0,0.0,0,2.9647133,3,0
2000-06-14,165.0,0.0,0,6.8215923,1,0
2000-06-15,166.0,0.0,0,0.6693392,0,2
2000-06-16,167.0,0.0,0,2.9554646,0,2
2000-06-17,168.0,0.0,0,0.3835185,0,0
2000-06-18,169.0,0.0,0,2.0856063,0,0
