date,numday,Population,MPS_incs,MPS_vics,MS_incs,MS_vics,MP_stories,AP_stories,TVSH_stories
2000-01-01,0.0,280.75884931506863,0,0,1,4,2.6426325,0.0,0.0
2000-01-02,1.0,280.7665479452056,0,0,0,0,6.548593,0.0,0.0
2000-01-03,2.0,280.7742465753426,0,0,0,0,1.9350969,0.0,0.0
2000-01-04,3.0,280.7819452054796,0,0,0,0,0.6784626,0.0,0.0
2000-01-05,4.0,280.7896438356166,0,0,0,0,1.1250703,0.0,1.0
2000-01-06,5.0,280.79734246575356,0,0,0,0,0.0,0.0,0.0
2000-01-07,6.0,280.80504109589054,0,0,0,0,0.0,0.0,0.0
2000-01-08,7.0,280.81273972602753,0,0,0,0,2.1269312,0.0,0.0
2000-01-09,8.0,280.8204383561645,0,0,0,0,0.0,0.0,0.0
2000-01-10,9.0,280.8281369863015,0,0,1,4,1.8897172,0.0,1.0
2000-01-11,10.0,280.8358356164385,0,0,0,0,5.257071,0.0,0.0
2000-01-12,11.0,280.8435342465755,0,0,0,0,7.353209,0.0,0.0
2000-01-13,12.0,280.85123287671246,0,0,0,0,2.0056448,0.0,0.0
2000-01-14,13.0,280.85893150684944,0,0,0,0,0.6784626,0.0,0.0
2000-01-15,14.0,280.86663013698643,0,0,0,0,1.7593321,0.0,0.0
2000-01-16,15.0,280.8743287671234,0,0,0,0,5.439457,0.0,0.0
2000-01-17,16.0,280.8820273972604,0,0,0,0,4.6530857,0.0,0.0
2000-01-18,17.0,280.8897260273974,0,0,0,0,4.324446,0.0,1.0
2000-01-19,18.0,280.8974246575344,0,0,0,0,7.2461185,0.0,0.0
2000-01-20,19.0,280.90512328767136,0,0,0,0,0.0,0.0,0.0
2000-01-21,20.0,280.91282191780834,0,0,0,0,1.3569252,0.0,0.0
2000-01-22,21.0,280.92052054794533,0,0,0,0,1.1250703,0.0,0.0
2000-01-23,22.0,280.9282191780823,0,0,0,0,1.9825857,0.0,0.0
2000-01-24,23.0,280.9359178082193,0,0,0,0,1.3569252,0.0,0.0
2000-01-25,24.0,280.9436164383563,0,0,0,0,1.363334,0.0,2.0
2000-01-26,25.0,280.9513150684933,0,0,0,0,4.03604,0.0,0.0
2000-01-27,26.0,280.95901369863026,0,0,0,0,1.6547035,0.0,0.0
2000-01-28,27.0,280.96671232876724,0,0,0,0,1.327182,1.0,0.0
2000-01-29,28.0,280.97441095890423,0,0,0,0,1.1989725,0.0,0.0
2000-01-30,29.0,280.9821095890412,0,0,0,0,0.0,0.0,0.0
2000-01-31,30.0,280.9898082191782,0,0,0,0,0.0,0.0,0.0
2000-02-01,31.0,280.9975068493152,0,0,0,0,4.2641397,0.0,0.0
2000-02-02,32.0,281.0052054794522,0,0,0,0,4.324446,0.0,1.0
2000-02-03,33.0,281.01290410958916,0,0,0,0,1.2318743,0.0,1.0
2000-02-04,34.0,281.02060273972614,0,0,0,0,4.037268,0.0,0.0
2000-02-05,35.0,281.02830136986313,0,0,0,0,0.40501332,0.0,0.0
2000-02-06,36.0,281.0360000000001,0,0,0,0,0.0,0.0,1.0
2000-02-07,37.0,281.0436986301371,0,0,0,0,0.65540355,0.0,0.0
2000-02-08,38.0,281.0513972602741,0,0,0,0,1.327182,0.0,0.0
2000-02-09,39.0,281.0590958904111,0,0,0,0,0.65540355,0.0,0.0
2000-02-10,40.0,281.06679452054806,0,0,0,0,0.0,0.0,1.0
2000-02-11,41.0,281.07449315068504,0,0,0,0,1.1250703,0.0,0.0
2000-02-12,42.0,281.08219178082203,0,0,0,0,1.3758136,0.0,1.0
2000-02-13,43.0,281.089890410959,0,0,0,0,2.1269312,0.0,1.0
2000-02-14,44.0,281.097589041096,0,0,1,4,0.0,0.0,3.0
2000-02-15,45.0,281.105287671233,0,0,0,0,5.651628,0.0,1.0
2000-02-16,46.0,281.11298630137,0,0,1,5,0.0,0.0,1.0
2000-02-17,47.0,281.12068493150696,0,0,0,0,2.1269312,0.0,1.0
2000-02-18,48.0,281.12838356164394,0,0,0,0,2.6237156,0.0,0.0
2000-02-19,49.0,281.13608219178093,0,0,0,0,1.1935451,0.0,0.0
2000-02-20,50.0,281.1437808219179,0,0,0,0,2.1269312,0.0,0.0
2000-02-21,51.0,281.1514794520549,0,0,0,0,0.0,0.0,0.0
2000-02-22,52.0,281.1591780821919,0,0,0,0,0.0,0.0,0.0
2000-02-23,53.0,281.1668767123289,0,0,0,0,2.607688,0.0,1.0
2000-02-24,54.0,281.17457534246586,0,0,0,0,0.6784626,0.0,0.0
2000-02-25,55.0,281.18227397260284,0,0,0,0,0.0,0.0,1.0
2000-02-26,56.0,281.18997260273983,0,0,0,0,0.41087726,0.0,1.0
2000-02-27,57.0,281.1976712328768,0,0,0,0,0.0,0.0,1.0
2000-02-28,58.0,281.2053698630138,0,0,0,0,6.262795,0.0,0.0
2000-02-29,59.0,281.2130684931508,0,0,0,0,5.2482553,0.0,3.0
2000-03-01,60.0,281.22076712328777,0,0,0,0,6.278477,0.0,6.0
2000-03-02,61.0,281.22846575342476,0,0,1,5,1.0743525,0.0,1.0
2000-03-03,62.0,281.23616438356174,0,0,0,0,1.9892696,0.0,2.0
2000-03-04,63.0,281.24386301369873,0,0,0,0,2.726668,0.0,1.0
2000-03-05,64.0,281.2515616438357,0,0,0,0,8.425599,0.0,2.0
2000-03-06,65.0,281.2592602739727,0,0,0,0,0.0,0.0,0.0
2000-03-07,66.0,281.2669589041097,0,0,1,4,3.6580646,0.0,3.0
2000-03-08,67.0,281.27465753424667,0,0,1,4,0.0,0.0,4.0
2000-03-09,68.0,281.28235616438366,0,0,0,0,0.0,0.0,0.0
2000-03-10,69.0,281.29005479452064,0,0,1,4,0.56253517,1.0,1.0
2000-03-11,70.0,281.2977534246576,0,0,0,0,1.327182,0.0,1.0
2000-03-12,71.0,281.3054520547946,0,0,0,0,6.0362,0.0,2.0
2000-03-13,72.0,281.3131506849316,0,0,0,0,0.40501332,0.0,3.0
2000-03-14,73.0,281.3208493150686,0,0,0,0,2.0056448,0.0,0.0
2000-03-15,74.0,281.32854794520557,0,0,0,0,2.7029958,0.0,2.0
2000-03-16,75.0,281.33624657534256,0,0,0,0,0.0,0.0,1.0
2000-03-17,76.0,281.34394520547954,0,0,0,0,0.0,0.0,2.0
2000-03-18,77.0,281.3516438356165,0,0,0,0,0.41087726,0.0,1.0
2000-03-19,78.0,281.3593424657535,0,0,0,0,4.7812953,1.0,2.0
2000-03-20,79.0,281.3670410958905,1,5,1,5,2.2911408,0.0,0.0
2000-03-21,80.0,281.3747397260275,0,0,0,0,4.0166483,0.0,0.0
2000-03-22,81.0,281.38243835616447,0,0,0,0,4.399417,0.0,1.0
2000-03-23,82.0,281.39013698630146,0,0,0,0,10.775824,0.0,0.0
2000-03-24,83.0,281.39783561643844,0,0,0,0,3.4364662,0.0,2.0
2000-03-25,84.0,281.4055342465754,0,0,0,0,0.6784626,0.0,0.0
2000-03-26,85.0,281.4132328767124,0,0,1,4,4.6647396,0.0,0.0
2000-03-27,86.0,281.4209315068494,0,0,0,0,5.49486,0.0,0.0
2000-03-28,87.0,281.4286301369864,0,0,0,0,0.0,0.0,0.0
2000-03-29,88.0,281.43632876712337,0,0,0,0,4.421662,0.0,0.0
2000-03-30,89.0,281.44402739726036,0,0,0,0,8.966318,0.0,1.0
2000-03-31,90.0,281.45172602739734,0,0,0,0,1.8929672,0.0,1.0
2000-04-01,91.0,281.4594246575343,0,0,0,0,9.484852,0.0,1.0
2000-04-02,92.0,281.4671232876713,0,0,0,0,8.184326,0.0,0.0
2000-04-03,93.0,281.4748219178083,0,0,0,0,7.2871547,0.0,1.0
2000-04-04,94.0,281.4825205479453,0,0,0,0,0.56253517,0.0,0.0
2000-04-05,95.0,281.49021917808227,0,0,1,4,2.6672215,0.0,0.0
2000-04-06,96.0,281.49791780821926,0,0,0,0,1.327182,0.0,1.0
2000-04-07,97.0,281.50561643835624,0,0,0,0,1.7580849,0.0,1.0
2000-04-08,98.0,281.5133150684932,0,0,0,0,1.7321954,0.0,1.0
2000-04-09,99.0,281.5210136986302,0,0,0,0,8.12918,1.0,1.0
2000-04-10,100.0,281.5287123287672,0,0,0,0,4.2538624,2.0,1.0
2000-04-11,101.0,281.5364109589042,0,0,0,0,2.2911408,1.0,0.0
2000-04-12,102.0,281.54410958904117,0,0,0,0,4.426753,0.0,1.0
2000-04-13,103.0,281.55180821917816,0,0,0,0,0.3835185,1.0,0.0
2000-04-14,104.0,281.55950684931514,0,0,0,0,0.43090278,0.0,0.0
2000-04-15,105.0,281.5672054794521,0,0,0,0,1.9383488,0.0,1.0
2000-04-16,106.0,281.5749041095891,0,0,0,0,3.2093534,0.0,1.0
2000-04-17,107.0,281.5826027397261,0,0,0,0,2.0056448,0.0,2.0
2000-04-18,108.0,281.5903013698631,0,0,0,0,0.41087726,0.0,3.0
2000-04-19,109.0,281.59800000000007,0,0,0,0,3.1226661,0.0,1.0
2000-04-20,110.0,281.60569863013706,0,0,0,0,1.8935025,0.0,8.0
2000-04-21,111.0,281.61339726027404,0,0,0,0,1.7321954,0.0,1.0
2000-04-22,112.0,281.621095890411,0,0,0,0,0.0,0.0,0.0
2000-04-23,113.0,281.628794520548,0,0,0,0,4.0305557,0.0,0.0
2000-04-24,114.0,281.636493150685,0,0,0,0,1.3758136,1.0,2.0
2000-04-25,115.0,281.644191780822,0,0,0,0,2.7005563,1.0,3.0
2000-04-26,116.0,281.65189041095897,0,0,0,0,0.0,0.0,3.0
2000-04-27,117.0,281.65958904109596,0,0,0,0,4.324446,0.0,0.0
2000-04-28,118.0,281.66728767123294,1,5,1,5,2.6044362,0.0,5.0
2000-04-29,119.0,281.6749863013699,0,0,0,0,0.0,0.0,2.0
2000-04-30,120.0,281.6826849315069,0,0,0,0,7.5296707,0.0,1.0
2000-05-01,121.0,281.6903835616439,0,0,0,0,1.083476,1.0,0.0
2000-05-02,122.0,281.6980821917809,0,0,0,0,0.81002665,1.0,1.0
2000-05-03,123.0,281.70578082191787,0,0,0,0,3.0955293,0.0,0.0
2000-05-04,124.0,281.71347945205486,0,0,0,0,5.392462,0.0,1.0
2000-05-05,125.0,281.72117808219184,0,0,0,0,1.351067,0.0,0.0
2000-05-06,126.0,281.7288767123288,0,0,0,0,1.7499201,1.0,0.0
2000-05-07,127.0,281.7365753424658,0,0,0,0,2.4753873,0.0,1.0
2000-05-08,128.0,281.7442739726028,0,0,0,0,0.41087726,0.0,0.0
2000-05-09,129.0,281.7519726027398,0,0,0,0,5.2214108,0.0,0.0
2000-05-10,130.0,281.75967123287677,0,0,0,0,0.5402905,0.0,0.0
2000-05-11,131.0,281.76736986301376,0,0,0,0,0.0,0.0,0.0
2000-05-12,132.0,281.77506849315074,0,0,0,0,0.0,0.0,0.0
2000-05-13,133.0,281.7827671232877,0,0,0,0,6.5857944,1.0,1.0
2000-05-14,134.0,281.7904657534247,0,0,0,0,1.8568153,0.0,1.0
2000-05-15,135.0,281.7981643835617,0,0,0,0,6.4513774,1.0,3.0
2000-05-16,136.0,281.8058630136987,0,0,0,0,0.0,0.0,0.0
2000-05-17,137.0,281.81356164383567,0,0,0,0,0.0,0.0,0.0
2000-05-18,138.0,281.82126027397265,0,0,0,0,0.0,1.0,0.0
2000-05-19,139.0,281.82895890410964,0,0,0,0,0.0,0.0,1.0
2000-05-20,140.0,281.8366575342466,0,0,0,0,0.0,0.0,0.0
2000-05-21,141.0,281.8443561643836,0,0,0,0,4.7812953,0.0,0.0
2000-05-22,142.0,281.8520547945206,0,0,0,0,2.1269312,0.0,0.0
2000-05-23,143.0,281.8597534246576,0,0,0,0,0.6784626,0.0,0.0
2000-05-24,144.0,281.86745205479457,0,0,1,5,0.0,0.0,0.0
2000-05-25,145.0,281.87515068493155,0,0,0,0,3.4541132,0.0,0.0
2000-05-26,146.0,281.88284931506854,0,0,0,0,2.7391477,0.0,1.0
2000-05-27,147.0,281.8905479452055,0,0,0,0,0.6784626,0.0,2.0
2000-05-28,148.0,281.8982465753425,0,0,0,0,6.610754,0.0,1.0
2000-05-29,149.0,281.9059452054795,0,0,0,0,1.327182,0.0,1.0
2000-05-30,150.0,281.9136438356165,0,0,0,0,3.3814583,0.0,2.0
2000-05-31,151.0,281.92134246575347,0,0,0,0,1.7683473,0.0,0.0
2000-06-01,152.0,281.92904109589045,0,0,0,0,3.5027447,0.0,1.0
2000-06-02,153.0,281.93673972602744,0,0,0,0,1.327182,1.0,1.0
2000-06-03,154.0,281.9444383561644,0,0,0,0,0.0,0.0,1.0
2000-06-04,155.0,281.9521369863014,0,0,0,0,0.0,0.0,0.0
2000-06-05,156.0,281.9598356164384,0,0,0,0,1.363334,1.0,0.0
2000-06-06,157.0,281.9675342465754,0,0,0,0,3.2563012,1.0,0.0
2000-06-07,158.0,281.97523287671237,0,0,0,0,1.2318743,0.0,0.0
2000-06-08,159.0,281.98293150684935,0,0,0,0,0.0,0.0,2.0
2000-06-09,160.0,281.99063013698634,0,0,0,0,2.6841073,0.0,0.0
2000-06-10,161.0,281.9983287671233,0,0,0,0,0.43090278,0.0,1.0
2000-06-11,162.0,282.0060273972603,0,0,0,0,0.40501332,0.0,0.0
2000-06-12,163.0,282.0137260273973,0,0,0,0,1.363334,0.0,0.0
2000-06-13,164.0,282.0214246575343,0,0,0,0,2.9647133,3.0,0.0
2000-06-14,165.0,282.02912328767127,0,0,0,0,6.8215923,1.0,0.0
2000-06-15,166.0,282.03682191780825,0,0,0,0,0.6693392,0.0,2.0
2000-06-16,167.0,282.04452054794524,0,0,0,0,2.9554646,0.0,2.0
2000-06-17,168.0,282.0522191780822,0,0,0,0,0.3835185,0.0,0.0
2000-06-18,169.0,282.0599178082192,0,0,0,0,2.0856063,0.0,0.0
2000-06-19,170.0,282.0676164383562,0,0,0,0,0.0,0.0,0.0
2000-06-20,171.0,282.0753150684932,0,0,0,0,0.960536,0.0,1.0
2000-06-21,172.0,282.08301369863017,0,0,0,0,0.0,0.0,0.0
2000-06-22,173.0,282.09071232876715,0,0,0,0,1.3478018,0.0,0.0
2000-06-23,174.0,282.09841095890414,0,0,0,0,0.0,0.0,0.0
2000-06-24,175.0,282.1061095890411,0,0,0,0,1.327182,0.0,0.0
2000-06-25,176.0,282.1138082191781,0,0,0,0,6.1446295,0.0,0.0
2000-06-26,177.0,282.1215068493151,0,0,0,0,0.43090278,0.0,0.0
2000-06-27,178.0,282.1292054794521,0,0,0,0,0.0,0.0,0.0
